region_or_sub-region,city_state_of_region
01,"Boston, MA"
02,"New York, NY."
03,"Buffalo, NY."
04,"Philadelphia, PA."
05,"Baltimore, MD."
06,"Pittsburgh, PA."
07,"Detroit, MI."
08,"Cleveland, OH."
09,"Cincinnati, OH."
10,"Atlanta, GA."
11,"Winston Salem, NC"
12,"Tampa, FL."
13,"Chicago, IL."
14,"St. Louis, MO."
15,"New Orleans, LA."
16,"Fort Worth, TX."
17,"Kansas City, MO."
18,"Minneapolis, MN."
19,"Seattle, WA."
20,"San Francisco, CA."
21,"Los Angles, CA."
22,"Newark, NJ."
23,"Houston, TX."
24,"Santruce, PR."
25,"Indianapolis, IN."
26,"Memphis, TN."
27,"Denver, CO."
28,"Phoenix, AZ"
29,"Brooklyn, NY."
30,"Milwaukee, WI."
31,"Los Angeles, CA."
34,"Hartford, CT"
36,"Portland, OR."
37,"Honolulu, HI."
38,"Peoria, IL."
39,"Hartford, CT"
