code,state
ALA,Alabama
ALK,Alaska
ARI,Arizona
ARK,Arkansas
CAL,California
COL,Colorado
CON,Connecticut
DC,District of Columbia
DEL,Delaware
FLA,Florida
GA,Georgia
HAW,Hawaii
IDO,Idaho
ILL,Illinois
IND,Indiana
IOW,Iowa
KAN,Kansas
KY,Kentucky
LA,Louisiana
MAS,Massachusetts
MD,Maryland
ME,Maine
MIC,Michigan
MIN,Minnesota
MIS,Mississippi
MO,Missouri
MON,Montana
NC,North Carolina
ND,North Dakota
NEB,Nebraska
NEV,Nevada
NH,New Hampshire
NJ,New Jersey
NM,New Mexico
NY,New York
OHI,Ohio
OKL,Oklahoma
ORE,Oregon
PA,Pennsylvania
PR,Puerto Rico
RI,Rhode Island
SC,South Carolina
SD,South Dakota
TEN,Tennessee
TEX,Texas
UTA,Utah
V1,Virgin Islands
VA,Virginia
VER,Vermont
WAS,Washington
WIS,Wisconsin
WVA,West Virginia
WYO,Wyoming
